0.00-0.01 0
0.01-0.02 0
0.02-0.03 0
0.03-0.04 0
0.04-0.05 0
0.05-0.06 0
0.06-0.07 0
0.07-0.08 0
0.08-0.09 0
0.09-0.10 0
0.10-0.11 0
0.11-0.12 0
0.12-0.13 0
0.13-0.14 0
0.14-0.15 0
0.15-0.16 0
0.16-0.17 0
0.17-0.18 0
0.18-0.19 0
0.19-0.20 0
0.20-0.21 0
0.21-0.22 0
0.22-0.23 0
0.23-0.24 0
0.24-0.25 0
0.25-0.26 0
0.26-0.27 0
0.27-0.28 0
0.28-0.29 0
0.29-0.30 0
0.30-0.31 0
0.31-0.32 0
0.32-0.33 0
0.33-0.34 0
0.34-0.35 0
0.35-0.36 0
0.36-0.37 0
0.37-0.38 0
0.38-0.39 0
0.39-0.40 0
0.40-0.41 0
0.41-0.42 0
0.42-0.43 0
0.43-0.44 0
0.44-0.45 0
0.45-0.46 0
0.46-0.47 0
0.47-0.48 0
0.48-0.49 0
0.49-0.50 0
0.50-0.51 0
0.51-0.52 0
0.52-0.53 0
0.53-0.54 0
0.54-0.55 0
0.55-0.56 0
0.56-0.57 0
0.57-0.58 0
0.58-0.59 0
0.59-0.60 0
0.60-0.61 0
0.61-0.62 1
0.62-0.63 0
0.63-0.64 0
0.64-0.65 0
0.65-0.66 1
0.66-0.67 0
0.67-0.68 4
0.68-0.69 0
0.69-0.70 2
0.70-0.71 7
0.71-0.72 6
0.72-0.73 7
0.73-0.74 13
0.74-0.75 11
0.75-0.76 19
0.76-0.77 29
0.77-0.78 27
0.78-0.79 34
0.79-0.80 44
0.80-0.81 50
0.81-0.82 76
0.82-0.83 79
0.83-0.84 117
0.84-0.85 122
0.85-0.86 140
0.86-0.87 169
0.87-0.88 185
0.88-0.89 204
0.89-0.90 257
0.90-0.91 262
0.91-0.92 288
0.92-0.93 316
0.93-0.94 291
0.94-0.95 340
0.95-0.96 353
0.96-0.97 350
0.97-0.98 367
0.98-0.99 388
0.99-1.00 399
1.00-1.01 374
1.01-1.02 385
1.02-1.03 423
1.03-1.04 395
1.04-1.05 365
1.05-1.06 342
1.06-1.07 307
1.07-1.08 286
1.08-1.09 291
1.09-1.10 254
1.10-1.11 233
1.11-1.12 229
1.12-1.13 198
1.13-1.14 168
1.14-1.15 133
1.15-1.16 116
1.16-1.17 114
1.17-1.18 80
1.18-1.19 68
1.19-1.20 61
1.20-1.21 55
1.21-1.22 32
1.22-1.23 37
1.23-1.24 27
1.24-1.25 24
1.25-1.26 11
1.26-1.27 7
1.27-1.28 7
1.28-1.29 10
1.29-1.30 2
1.30-1.31 3
1.31-1.32 2
1.32-1.33 0
1.33-1.34 1
1.34-1.35 1
1.35-1.36 1
1.36-1.37 0
1.37-1.38 0
1.38-1.39 0
1.39-1.40 0
1.40-1.41 0
1.41-1.42 0
1.42-1.43 0
1.43-1.44 0
1.44-1.45 0
1.45-1.46 0
1.46-1.47 0
1.47-1.48 0
1.48-1.49 0
1.49-1.50 0
1.50-1.51 0
1.51-1.52 0
1.52-1.53 0
1.53-1.54 0
1.54-1.55 0
1.55-1.56 0
1.56-1.57 0
1.57-1.58 0
1.58-1.59 0
1.59-1.60 0
1.60-1.61 0
1.61-1.62 0
1.62-1.63 0
1.63-1.64 0
1.64-1.65 0
1.65-1.66 0
1.66-1.67 0
1.67-1.68 0
1.68-1.69 0
1.69-1.70 0
1.70-1.71 0
1.71-1.72 0
1.72-1.73 0
1.73-1.74 0
1.74-1.75 0
1.75-1.76 0
1.76-1.77 0
1.77-1.78 0
1.78-1.79 0
1.79-1.80 0
1.80-1.81 0
1.81-1.82 0
1.82-1.83 0
1.83-1.84 0
1.84-1.85 0
1.85-1.86 0
1.86-1.87 0
1.87-1.88 0
1.88-1.89 0
1.89-1.90 0
1.90-1.91 0
1.91-1.92 0
1.92-1.93 0
1.93-1.94 0
1.94-1.95 0
1.95-1.96 0
1.96-1.97 0
1.97-1.98 0
1.98-1.99 0
1.99-2.00 0
2.00-2.01 0
